ID,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Regates intentados,Regates completados,Porcent_regates,Defensa al regate,Porcent_defensa al regate,Conducciones,Distancia total conducciones,Distancia traslado progresivo,Distancia traslado progresivo,Conducciones ultimo 1/3,Conducciones al area,Error control,Perdida balon,Pases recibidos,Pases progresivos recibidos
497,416,32,138,226,55,0,416,9,2,"22,22%",6,"66,67%",243,1171,469,8,8,1,8,5,241,4
498,128,0,3,52,77,21,127,19,7,"36,84%",10,"52,63%",93,703,303,13,8,4,15,17,105,34
499,451,22,122,241,92,12,451,4,1,"25,00%",1,"25,00%",258,1063,620,11,8,2,9,5,269,15
500,42,0,8,18,17,2,42,3,1,"33,33%",0,"0,00%",30,143,84,3,0,1,2,0,34,4
501,550,474,544,6,0,0,550,1,0,"0,00%",0,"0,00%",363,1696,1026,0,0,0,0,0,303,0
502,331,31,93,203,38,5,331,5,3,"60,00%",1,"20,00%",214,960,332,4,4,0,1,7,211,4
503,598,91,295,271,33,11,598,3,3,"100,00%",0,"0,00%",443,2366,1275,3,7,1,7,0,452,1
504,68,3,6,25,39,8,68,2,2,"100,00%",0,"0,00%",31,208,118,5,3,2,7,4,49,9
505,218,0,23,81,117,10,218,6,2,"33,33%",2,"33,33%",156,942,490,13,15,4,15,5,163,43
506,55,41,54,1,0,0,55,0,0,"0,00%",0,"0,00%",33,138,99,0,0,0,0,0,29,0
507,108,7,9,43,57,26,107,12,5,"41,67%",5,"41,67%",60,395,201,10,2,6,13,6,77,25
508,629,88,345,272,20,8,629,0,0,"0,00%",0,"0,00%",429,1998,964,3,5,0,4,0,426,2
509,335,5,55,199,89,11,335,23,11,"47,83%",9,"39,13%",195,968,546,8,5,1,14,7,208,12
510,13,0,1,8,4,1,13,2,2,"100,00%",0,"0,00%",9,93,27,1,0,0,0,0,10,0
511,346,16,93,211,46,5,346,3,2,"66,67%",1,"33,33%",226,1057,470,6,9,0,6,5,242,8
512,94,5,21,60,13,2,94,0,0,"0,00%",0,"0,00%",57,264,119,3,1,1,3,1,61,3
513,79,1,2,29,48,11,79,5,4,"80,00%",1,"20,00%",62,450,252,10,5,6,3,3,63,11
514,7,1,2,5,0,0,7,0,0,"0,00%",0,"0,00%",4,10,0,0,0,0,0,0,5,0
515,276,10,56,183,40,0,276,4,1,"25,00%",2,"50,00%",158,826,483,5,7,0,2,6,186,4
