ID,Jugador,Pais,Equipo,Posicion,Edad,Nacimiento,Partidos_jugados,Partidos_titular,Minutos_totales,90s,Tarjetas_amarillas,Tarjetas_rojas,Segundas_tarjetas_amarillas,Faltas_comprometidas,Faltas_pitadas,Fuera_de_juego
690,Federico Valverde,ES,Real Madrid,"MF,FW",24,1998,11,11,967,"10,74",0,0,0,10,5,1
691,Virgil van Dijk,ENG,Liverpool ,DF,31,1991,8,8,720,"8,00",1,0,0,6,0,0
692,Hans Vanaken,BE,Club Brugge,MF,29,1992,8,8,703,"7,81",1,0,0,7,9,0
693,Denis Vavro,DK,FC Copenhagen,DF,26,1996,4,4,360,"4,00",1,0,0,2,1,0
694,Lucas Vázquez,ES,Real Madrid,DF,31,1991,5,2,202,"2,24",1,0,0,3,4,0
695,Jordan Veretout,FR,Marseille ,MF,29,1993,6,6,485,"5,39",2,0,0,9,5,1
696,Lucas Veríssimo,PT,Benfica ,DF,27,1995,2,0,6,"0,07",0,0,0,1,0,0
697,Gabriel Veron,PT,Porto ,"MF,FW",19,2002,3,0,47,"0,52",0,0,0,1,0,0
698,Marco Verratti,FR,Paris S-G,MF,29,1992,7,7,623,"6,92",4,0,0,10,16,0
699,Vitinha,FR,Paris S-G,MF,22,2000,8,7,584,"6,49",0,0,0,5,7,0
